trial,workflow_length,failure_position,sagamind_restored,naive_restored,sagamind_residual_mutations,naive_residual_mutations
0,2,1,True,False,0,1
1,10,1,True,False,0,1
2,8,3,True,False,0,3
3,7,6,True,False,0,6
4,9,6,True,False,0,6
5,7,4,True,False,0,4
6,10,4,True,False,0,4
7,2,1,True,False,0,1
8,5,3,True,False,0,3
9,2,1,True,False,0,1
10,11,6,True,False,0,6
11,9,6,True,False,0,6
12,3,2,True,False,0,2
13,9,4,True,False,0,4
14,10,8,True,False,0,8
15,9,8,True,False,0,8
16,8,4,True,False,0,4
17,6,1,True,False,0,1
18,10,3,True,False,0,3
19,10,7,True,False,0,7
20,12,10,True,False,0,10
21,8,1,True,False,0,1
22,10,5,True,False,0,5
23,4,2,True,False,0,2
24,10,7,True,False,0,7
25,10,4,True,False,0,4
26,3,1,True,False,0,1
27,9,4,True,False,0,4
28,11,5,True,False,0,5
29,8,1,True,False,0,1
30,4,2,True,False,0,2
31,4,1,True,False,0,1
32,2,1,True,False,0,1
33,8,2,True,False,0,2
34,8,5,True,False,0,5
35,12,10,True,False,0,10
36,7,5,True,False,0,5
37,9,4,True,False,0,4
38,9,4,True,False,0,4
39,7,1,True,False,0,1
40,12,9,True,False,0,9
41,6,4,True,False,0,4
42,11,1,True,False,0,1
43,3,1,True,False,0,1
44,9,6,True,False,0,6
45,8,3,True,False,0,3
46,10,1,True,False,0,1
47,4,2,True,False,0,2
48,2,1,True,False,0,1
49,12,5,True,False,0,5
50,11,4,True,False,0,4
51,12,2,True,False,0,2
52,10,3,True,False,0,3
53,2,1,True,False,0,1
54,6,3,True,False,0,3
55,3,1,True,False,0,1
56,10,2,True,False,0,2
57,5,3,True,False,0,3
58,10,4,True,False,0,4
59,3,1,True,False,0,1
60,10,1,True,False,0,1
61,10,5,True,False,0,5
62,2,1,True,False,0,1
63,9,7,True,False,0,7
64,3,2,True,False,0,2
65,8,4,True,False,0,4
66,8,3,True,False,0,3
67,12,8,True,False,0,8
68,4,3,True,False,0,3
69,9,1,True,False,0,1
70,8,3,True,False,0,3
71,5,3,True,False,0,3
72,7,1,True,False,0,1
73,12,8,True,False,0,8
74,4,1,True,False,0,1
75,4,2,True,False,0,2
76,11,10,True,False,0,10
77,3,2,True,False,0,2
78,8,5,True,False,0,5
79,6,3,True,False,0,3
80,8,3,True,False,0,3
81,4,1,True,False,0,1
82,2,1,True,False,0,1
83,4,3,True,False,0,3
84,11,10,True,False,0,10
85,5,1,True,False,0,1
86,11,6,True,False,0,6
87,8,4,True,False,0,4
88,6,4,True,False,0,4
89,2,1,True,False,0,1
90,5,2,True,False,0,2
91,7,2,True,False,0,2
92,9,7,True,False,0,7
93,10,4,True,False,0,4
94,3,2,True,False,0,2
95,5,1,True,False,0,1
96,7,6,True,False,0,6
97,7,2,True,False,0,2
98,3,2,True,False,0,2
99,7,6,True,False,0,6
100,8,3,True,False,0,3
101,12,8,True,False,0,8
102,5,2,True,False,0,2
103,5,1,True,False,0,1
104,10,2,True,False,0,2
105,8,7,True,False,0,7
106,12,11,True,False,0,11
107,2,1,True,False,0,1
108,9,1,True,False,0,1
109,4,2,True,False,0,2
110,12,8,True,False,0,8
111,8,1,True,False,0,1
112,7,5,True,False,0,5
113,4,3,True,False,0,3
114,10,2,True,False,0,2
115,3,2,True,False,0,2
116,2,1,True,False,0,1
117,8,7,True,False,0,7
118,4,3,True,False,0,3
119,4,2,True,False,0,2
120,11,8,True,False,0,8
121,10,7,True,False,0,7
122,9,3,True,False,0,3
123,10,1,True,False,0,1
124,4,3,True,False,0,3
125,12,8,True,False,0,8
126,8,3,True,False,0,3
127,6,1,True,False,0,1
128,5,2,True,False,0,2
129,11,4,True,False,0,4
130,2,1,True,False,0,1
131,7,5,True,False,0,5
132,7,1,True,False,0,1
133,3,2,True,False,0,2
134,6,5,True,False,0,5
135,3,2,True,False,0,2
136,3,1,True,False,0,1
137,9,5,True,False,0,5
138,3,1,True,False,0,1
139,7,2,True,False,0,2
140,3,1,True,False,0,1
141,6,4,True,False,0,4
142,4,1,True,False,0,1
143,12,3,True,False,0,3
144,8,1,True,False,0,1
145,8,4,True,False,0,4
146,11,5,True,False,0,5
147,7,6,True,False,0,6
148,9,2,True,False,0,2
149,9,2,True,False,0,2
150,2,1,True,False,0,1
151,12,1,True,False,0,1
152,8,3,True,False,0,3
153,5,4,True,False,0,4
154,2,1,True,False,0,1
155,8,3,True,False,0,3
156,11,4,True,False,0,4
157,10,6,True,False,0,6
158,11,3,True,False,0,3
159,12,1,True,False,0,1
160,4,2,True,False,0,2
161,7,1,True,False,0,1
162,6,2,True,False,0,2
163,5,2,True,False,0,2
164,6,5,True,False,0,5
165,9,8,True,False,0,8
166,12,8,True,False,0,8
167,9,6,True,False,0,6
168,6,4,True,False,0,4
169,12,4,True,False,0,4
170,4,1,True,False,0,1
171,2,1,True,False,0,1
172,6,5,True,False,0,5
173,5,4,True,False,0,4
174,2,1,True,False,0,1
175,8,5,True,False,0,5
176,12,6,True,False,0,6
177,2,1,True,False,0,1
178,5,2,True,False,0,2
179,7,4,True,False,0,4
180,5,3,True,False,0,3
181,7,3,True,False,0,3
182,2,1,True,False,0,1
183,11,5,True,False,0,5
184,7,2,True,False,0,2
185,3,1,True,False,0,1
186,3,2,True,False,0,2
187,12,8,True,False,0,8
188,8,3,True,False,0,3
189,10,2,True,False,0,2
190,12,10,True,False,0,10
191,10,2,True,False,0,2
192,12,11,True,False,0,11
193,10,3,True,False,0,3
194,2,1,True,False,0,1
195,4,2,True,False,0,2
196,5,4,True,False,0,4
197,12,7,True,False,0,7
198,11,5,True,False,0,5
199,6,5,True,False,0,5
200,9,2,True,False,0,2
201,2,1,True,False,0,1
202,10,3,True,False,0,3
203,3,2,True,False,0,2
204,5,2,True,False,0,2
205,4,1,True,False,0,1
206,9,5,True,False,0,5
207,6,2,True,False,0,2
208,11,1,True,False,0,1
209,3,1,True,False,0,1
210,8,2,True,False,0,2
211,9,8,True,False,0,8
212,11,5,True,False,0,5
213,12,5,True,False,0,5
214,11,6,True,False,0,6
215,8,6,True,False,0,6
216,6,4,True,False,0,4
217,7,1,True,False,0,1
218,11,10,True,False,0,10
219,9,2,True,False,0,2
220,4,1,True,False,0,1
221,6,3,True,False,0,3
222,2,1,True,False,0,1
223,9,6,True,False,0,6
224,7,6,True,False,0,6
225,9,3,True,False,0,3
226,6,5,True,False,0,5
227,8,2,True,False,0,2
228,8,7,True,False,0,7
229,7,3,True,False,0,3
230,11,3,True,False,0,3
231,4,3,True,False,0,3
232,10,3,True,False,0,3
233,6,4,True,False,0,4
234,3,1,True,False,0,1
235,2,1,True,False,0,1
236,7,4,True,False,0,4
237,7,1,True,False,0,1
238,4,2,True,False,0,2
